NPRI_id,province,latitude,longitude
19964,SK,51.7658,-109.6865
19965,AB,52.2082,-110.5597
19966,AB,52.2222,-110.4322
19967,AB,52.2698,-114.2476
19968,BC,49.7167,-120.2
19969,AB,50.6321,-111.5702
19970,AB,50.6211,-111.5645
19971,AB,50.6358,-111.5876
19972,BC,59.8326,-123.245
19973,BC,57.1333,-121.1667
19974,AB,54.7198,-113.1395
19975,AB,50.1879,-112.2252
19976,AB,53.7032,-114.6618
19977,AB,53.6961,-114.655
19978,AB,54.8704,-117.6526
19979,AB,58.0985,-119.4261
19980,SK,49.5929,-102.5793
19981,AB,49.8093,-111.6783
19982,AB,52.0246,-112.2699
19983,AB,57.8551,-119.6791
19984,SK,49.6847,-103.3251
19985,AB,53.4192,-113.8823
19986,SK,49.5275,-103.3779
19987,AB,55.4594,-114.8513
19988,SK,49.4324,-102.605
19989,AB,54.1431,-116.0231
19990,MB,50.617,-101.283
19991,AB,49.867,-111.383
19992,SK,53.283,-109.983
19993,AB,55.7388,-117.19
19994,MB,52.117,-101.267
19995,AB,53.5594,-113.3472
19996,AB,54.4078,-110.3336
19997,AB,56.85,-119.8369
19998,AB,56.012206,-119.90946
19999,AB,54.59,-114.83
20000,BC,49.1771,-122.6739
20001,ON,43.7017,-79.5792
20002,BC,49.895,-119.4017
20003,BC,49.0846,-123.0008
20004,BC,49.0881,-123.0019
20005,BC,49.008,-122.4041
20006,BC,49.2668,-123.1104
20007,BC,50.03,-125.2749
20008,BC,51.2871,-116.9508
20171,BC,54.224553,-130.325329
20172,BC,49.1789,-122.6649
20173,BC,48.915,-123.7103
20174,BC,50.6537,-117.5408
20175,BC,55.6044,-122.2007
20176,BC,56.1663,-122.0279
21097,AB,53.7861,-110.8373
21098,AB,53.9206,-110.6085
21099,AB,53.863,-117.764
21100,AB,54.459738,-118.230093
21101,AB,54.728,-113.2114
21102,AB,54.5225,-117.4192
21103,AB,52.6391,-113.1027
21104,BC,56.55,-120.75
21105,AB,53.9428,-117.597
21106,AB,54.2159,-117.4106
21107,AB,52.2227,-114.2013
